Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
CH_AgAu_211_four-fold-s-1    3.809    2.988    2.961    0.95    2.805    8.5    4    -3.602    1.221    2.127    14.442    4.854    8.401    1.807    9.765    1.185    2.235    0.061    0.25    
CH_AgAu_211_four-fold-s-2    3.624    2.988    2.961    0.95    2.805    8.5    4    -3.602    1.221    2.127    14.442    4.854    8.401    1.807    9.765    1.185    2.235    0.061    0.25    
CH_AgAu_211_bridge2-s-1    4.256    2.988    2.941    0.95    2.805    7.0    2    -3.514    1.131    2.084    14.99    4.854    8.401    1.807    9.79    1.114    2.235    0.053    0.268    
CH_AgAu_211_fcc-s-1    3.972    2.987    2.965    0.93    2.623    8.333    3    -3.679    1.18    2.18    14.835    4.712    8.126    1.639    9.786    1.136    2.133    0.056    0.239    
CH_AgAu_211_fcc-s-2    3.543    2.988    2.954    0.97    2.987    8.333    3    -3.482    1.262    2.073    14.173    4.996    8.676    1.974    9.754    1.223    2.337    0.066    0.268    
CH_AgAu_211_hcp-s-1    3.442    2.988    2.949    0.97    2.987    7.667    3    -3.457    1.215    2.055    14.388    4.996    8.676    1.974    9.763    1.186    2.337    0.064    0.269    
CH_AgAu_211_hcp-s-2    4.052    2.987    2.951    0.93    2.623    7.667    3    -3.638    1.138    2.156    15.106    4.712    8.126    1.639    9.796    1.107    2.133    0.051    0.253    
CH_AgAu_211_fcc-t-2    4.118    2.987    2.978    0.93    2.623    9.667    3    -3.756    1.257    2.213    14.375    4.712    8.126    1.639    9.764    1.201    2.133    0.06    0.228    
CH_AgAu_211_hcp-t-1    3.733    2.988    2.969    0.97    2.987    9.333    3    -3.564    1.316    2.077    13.572    4.996    8.676    1.974    9.74    1.266    2.337    0.072    0.249    
CH_AgAu_211_hcp-t-2    4.26    2.987    2.976    0.93    2.623    9.333    3    -3.715    1.246    2.233    14.706    4.712    8.126    1.639    9.768    1.187    2.133    0.06    0.233    
CH_AgPd_211_four-fold-s-1    2.635    2.902    2.88    0.915    2.52    8.5    4    -2.409    1.21    1.769    12.165    4.819    7.957    0.933    9.645    0.868    2.065    0.275    0.173    
CH_AgPd_211_four-fold-s-2    2.641    2.902    2.88    0.915    2.52    8.5    4    -2.409    1.21    1.769    12.165    4.819    7.957    0.933    9.645    0.868    2.065    0.275    0.173    
CH_AgPd_211_bridge2-s-1    3.664    2.902    2.866    0.915    2.52    7.0    2    -2.343    1.118    1.815    13.473    4.819    7.957    0.933    9.672    0.795    2.065    0.262    0.193    
CH_AgPd_211_bridge2-s-2    3.658    2.902    2.866    0.915    2.52    7.0    2    -2.343    1.118    1.815    13.473    4.819    7.957    0.933    9.672    0.795    2.065    0.262    0.193    
CH_AgPd_211_fcc-s-2    2.584    2.874    2.866    0.923    2.607    8.333    3    -2.043    1.254    1.444    11.141    4.949    8.083    0.809    9.576    0.84    2.11    0.383    0.169    
CH_AgPd_211_hcp-s-1    3.474    2.929    2.875    0.907    2.433    7.667    3    -2.732    1.111    2.005    13.125    4.688    7.83    1.057    9.731    0.856    2.02    0.191    0.184    
