Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
OH_Ni_211_fcc-s    -0.045    2.502    2.476    0.71    1.16    8.333    3    -1.236    1.755    2.642    17.151    4.945    7.64    1.157    8.821    1.231    1.91    1.903    0.169    
OH_Ni_211_bridge1-s    0.028    2.502    2.473    0.71    1.16    8.0    2    -1.224    1.729    2.657    17.424    4.945    7.64    1.157    8.833    1.21    1.91    1.88    0.182    
OH_Ni_211_top-s    0.038    2.502    2.464    0.71    1.16    7.0    1    -1.152    1.645    2.703    18.317    4.945    7.64    1.157    8.858    1.14    1.91    1.888    0.218    
OH_Ni_211_bridge2-t    0.167    2.502    2.482    0.71    1.16    9.0    2    -1.277    1.81    2.612    16.567    4.945    7.64    1.157    8.802    1.277    1.91    1.91    0.145    
OH_Ni_211_bridge1-t    0.3    2.502    2.493    0.71    1.16    9.5    2    -1.291    1.852    2.632    16.481    4.945    7.64    1.157    8.792    1.3    1.91    1.809    0.132    
OH_Ni_211_hcp-t    0.275    2.502    2.489    0.71    1.16    9.333    3    -1.28    1.837    2.625    16.521    4.945    7.64    1.157    8.791    1.292    1.91    1.847    0.136    
OH_Ni_211_top-t    0.526    2.502    2.482    0.71    1.16    9.0    1    -1.27    1.809    2.613    16.595    4.945    7.64    1.157    8.801    1.275    1.91    1.917    0.145    
OH_Au@Ni_211_bridge3-s-2    0.029    2.502    2.482    0.71    1.16    8.5    2    -1.226    1.788    2.568    16.836    4.945    7.64    1.157    8.738    1.246    1.91    1.95    0.164    
OH_Au@Ni_211_bridge2-s-2    -0.606    2.502    2.465    0.71    1.16    7.0    2    -1.149    1.674    2.475    17.257    4.945    7.64    1.157    8.768    1.173    1.91    2.065    0.214    
OH_Au@Ni_211_fcc-s-2    -0.107    2.502    2.483    0.71    1.16    8.333    3    -1.218    1.763    2.529    16.689    4.945    7.64    1.157    8.723    1.235    1.91    1.988    0.167    
OH_Au@Ni_211_hcp-s-2    -0.249    2.502    2.468    0.71    1.16    7.667    3    -1.193    1.726    2.512    16.91    4.945    7.64    1.157    8.746    1.206    1.91    2.012    0.19    
OH_Au@Ni_211_bridge1-s-2    0.027    2.502    2.488    0.71    1.16    8.0    2    -1.186    1.73    2.502    16.925    4.945    7.64    1.157    8.732    1.216    1.91    2.028    0.18    
OH_Au@Ni_211_bridge1-s-3    -0.014    2.502    2.469    0.71    1.16    8.0    2    -1.214    1.751    2.529    16.736    4.945    7.64    1.157    8.74    1.223    1.91    1.989    0.179    
OH_Au@Ni_211_top-s-1    0.98    2.99    2.983    1.01    3.35    10.0    1    -3.455    1.525    2.612    13.326    5.28    9.226    2.309    9.565    1.159    2.54    0.197    0.21    
OH_Au@Ni_211_bridge1-t-1    0.342    2.502    2.512    0.71    1.16    9.5    2    -1.243    1.845    2.536    16.276    4.945    7.64    1.157    8.681    1.295    1.91    1.863    0.132    
OH_Au@Ni_211_bridge1-t-2    0.251    2.502    2.505    0.71    1.16    9.5    2    -1.261    1.844    2.593    16.503    4.945    7.64    1.157    8.712    1.29    1.91    1.919    0.13    
OH_Au@Ni_211_bridge1-t-3    0.218    2.502    2.486    0.71    1.16    9.5    2    -1.29    1.866    2.621    16.309    4.945    7.64    1.157    8.707    1.296    1.91    1.875    0.128    
OH_Au@Ni_211_bridge2-t-1    0.071    2.502    2.511    0.71    1.16    9.0    2    -1.22    1.787    2.526    16.583    4.945    7.64    1.157    8.699    1.261    1.91    2.0    0.145    
OH_Au@Ni_211_bridge2-t-2    -0.016    2.502    2.492    0.71    1.16    9.0    2    -1.251    1.808    2.556    16.404    4.945    7.64    1.157    8.705    1.267    1.91    1.952    0.144    
OH_Au@Ni_211_fcc-t-2    0.362    2.502    2.491    0.71    1.16    9.667    3    -1.294    1.878    2.634    16.344    4.945    7.64    1.157    8.711    1.304    1.91    1.864    0.124    
OH_Au@Ni_211_hcp-t-1    0.28    2.502    2.511    0.71    1.16    9.333    3    -1.235    1.826    2.533    16.381    4.945    7.64    1.157    8.689    1.283    1.91    1.907    0.137    
OH_Au@Ni_211_hcp-t-2    0.176    2.502    2.495    0.71    1.16    9.333    3    -1.268    1.839    2.59    16.407    4.945    7.64    1.157    8.709    1.284    1.91    1.915    0.134    
OH_Au@Ni_211_top-t-1    0.447    2.502    2.511    0.71    1.16    9.0    1    -1.219    1.787    2.525    16.575    4.945    7.64    1.157    8.693    1.261    1.91    2.003    0.145    
OH_Au@Ni_211_top-t-2    0.441    2.502    2.473    0.71    1.16    9.0    1    -1.281    1.83    2.584    16.216    4.945    7.64    1.157    8.704    1.273    1.91    1.907    0.143    
OH_Pd_211_bridge3-s    0.579    2.819    2.808    0.94    2.78    8.5    2    -1.625    1.337    0.687    5.511    5.21    8.337    0.562    9.294    0.75    2.2    2.128    0.13    
OH_Pd_211_bridge2-s    0.209    2.819    2.79    0.94    2.78    7.0    2    -1.5    1.244    0.602    5.726    5.21    8.337    0.562    9.334    0.682    2.2    2.15    0.15    
OH_Pd_211_fcc-s    0.599    2.819    2.803    0.94    2.78    8.333    3    -1.59    1.329    0.592    5.089    5.21    8.337    0.562    9.303    0.743    2.2    2.269    0.133    
OH_Pd_211_bridge1-s    0.586    2.819    2.799    0.94    2.78    8.0    2    -1.567    1.308    0.594    5.247    5.21    8.337    0.562    9.312    0.727    2.2    2.244    0.137    
OH_Pd_211_top-s    0.693    2.819    2.79    0.94    2.78    7.0    1    -1.501    1.244    0.602    5.728    5.21    8.337    0.562    9.334    0.683    2.2    2.147    0.15    
OH_Pd_211_bridge2-t    0.621    2.819    2.809    0.94    2.78    9.0    2    -1.635    1.372    0.587    4.77    5.21    8.337    0.562    9.288    0.773    2.2    2.33    0.125    
OH_Pd_211_bridge1-t    0.8    2.819    2.817    0.94    2.78    9.5    2    -1.692    1.401    0.68    5.034    5.21    8.337    0.562    9.272    0.796    2.2    2.219    0.118    
OH_Pd_211_fcc-t    0.971    2.819    2.82    0.94    2.78    9.667    3    -1.715    1.405    0.682    4.968    5.21    8.337    0.562    9.265    0.804    2.2    2.178    0.115    
OH_Pd_211_hcp-t    0.954    2.819    2.814    0.94    2.78    9.333    3    -1.677    1.386    0.62    4.792    5.21    8.337    0.562    9.276    0.789    2.2    2.252    0.12    
OH_Pd_211_top-t    0.821    2.819    2.809    0.94    2.78    9.0    1    -1.635    1.372    0.587    4.769    5.21    8.337    0.562    9.286    0.773    2.2    2.325    0.125    
OH_Pt_211_bridge3-s    0.67    2.838    2.817    1.04    3.9    8.5    2    -1.996    1.985    0.83    5.643    5.75    8.959    2.125    8.807    1.164    2.28    1.596    0.135    
OH_Pt_211_bridge2-s    0.164    2.838    2.781    1.04    3.9    7.0    2    -1.895    1.891    0.786    5.804    5.75    8.959    2.125    8.812    1.101    2.28    1.72    0.176    
OH_Pt_211_fcc-s    0.995    2.838    2.807    1.04    3.9    8.333    3    -1.989    2.003    0.825    5.621    5.75    8.959    2.125    8.786    1.167    2.28    1.766    0.145    
OH_Pt_211_bridge1-s    0.774    2.838    2.801    1.04    3.9    8.0    2    -1.966    1.975    0.815    5.664    5.75    8.959    2.125    8.792    1.149    2.28    1.753    0.153    
OH_Pt_211_top-s    0.538    2.838    2.781    1.04    3.9    7.0    1    -1.894    1.89    0.785    5.806    5.75    8.959    2.125    8.815    1.102    2.28    1.72    0.176    
OH_Pt_211_bridge2-t    0.875    2.838    2.82    1.04    3.9    9.0    2    -2.037    2.06    0.845    5.528    5.75    8.959    2.125    8.772    1.199    2.28    1.789    0.129    
OH_Pt_211_top-t    0.828    2.838    2.82    1.04    3.9    9.0    1    -2.037    2.06    0.845    5.53    5.75    8.959    2.125    8.769    1.2    2.28    1.789    0.129    
OH_PtRh_211_bridge3-s-1    0.524    2.786    2.762    1.015    3.61    8.5    2    -1.758    2.129    1.414    8.547    5.414    8.209    1.634    8.359    1.12    2.28    1.853    0.151    
OH_PtRh_211_bridge3-s-2    0.402    2.786    2.769    1.015    3.61    8.5    2    -1.688    2.128    1.408    8.601    5.414    8.209    1.634    8.361    1.151    2.28    1.78    0.161    
OH_PtRh_211_bridge2-s-1    -0.112    2.786    2.739    1.015    3.61    7.0    2    -1.617    1.974    1.3    8.401    5.414    8.209    1.634    8.421    1.065    2.28    1.865    0.212    
OH_PtRh_211_bridge2-s-2    -0.158    2.786    2.739    1.015    3.61    7.0    2    -1.617    1.974    1.3    8.401    5.414    8.209    1.634    8.421    1.065    2.28    1.865    0.212    
OH_PtRh_211_bridge1-s-1    0.52    2.786    2.751    1.015    3.61    8.0    2    -1.704    2.088    1.368    8.429    5.414    8.209    1.634    8.373    1.123    2.28    1.943    0.175    
OH_PtRh_211_bridge1-s-2    0.762    2.838    2.76    1.04    3.9    8.0    2    -2.102    2.022    1.313    7.509    5.75    8.959    2.125    8.77    1.076    2.28    1.448    0.169    
OH_PtRh_211_bridge1-s-3    0.542    2.786    2.749    1.015    3.61    8.0    2    -1.722    2.106    1.39    8.563    5.414    8.209    1.634    8.378    1.108    2.28    1.942    0.17    
OH_PtRh_211_bridge1-s-4    0.257    2.734    2.741    0.99    3.32    8.0    2    -1.325    2.173    1.446    9.483    5.078    7.459    1.143    7.982    1.156    2.28    2.437    0.176    
OH_PtRh_211_top-s-2    0.238    2.734    2.728    0.99    3.32    7.0    1    -1.238    2.059    1.378    9.455    5.078    7.459    1.143    8.03    1.097    2.28    2.359    0.213    
OH_PtRh_211_bridge1-t-1    0.529    2.734    2.77    0.99    3.32    9.5    2    -1.395    2.326    1.555    9.684    5.078    7.459    1.143    7.922    1.241    2.28    2.352    0.126    
OH_PtRh_211_bridge1-t-2    0.842    2.786    2.779    1.015    3.61    9.5    2    -1.793    2.259    1.499    8.764    5.414    8.209    1.634    8.319    1.194    2.28    1.857    0.12    
OH_PtRh_211_bridge2-t-1    0.563    2.786    2.761    1.015    3.61    9.0    2    -1.809    2.22    1.459    8.591    5.414    8.209    1.634    8.33    1.166    2.28    2.02    0.134    
OH_PtRh_211_bridge2-t-2    0.604    2.786    2.761    1.015    3.61    9.0    2    -1.809    2.22    1.459    8.591    5.414    8.209    1.634    8.33    1.166    2.28    2.02    0.134    
OH_PtRh_211_top-t-1    0.737    2.838    2.77    1.04    3.9    9.0    1    -2.207    2.154    1.403    7.672    5.75    8.959    2.125    8.727    1.118    2.28    1.525    0.128    
OH_PtRh_211_top-t-2    0.526    2.734    2.753    0.99    3.32    9.0    1    -1.411    2.286    1.514    9.511    5.078    7.459    1.143    7.933    1.214    2.28    2.515    0.14    
OH_Rh_211_bridge3-s    0.171    2.734    2.714    0.99    3.32    8.5    2    -1.395    2.275    1.931    11.244    5.078    7.459    1.143    7.907    1.066    2.28    1.921    0.173    
OH_Rh_211_bridge2-s    -0.39    2.734    2.694    0.99    3.32    7.0    2    -1.293    2.099    1.886    11.48    5.078    7.459    1.143    7.969    0.987    2.28    2.07    0.24    
OH_Rh_211_fcc-s    0.27    2.734    2.703    0.99    3.32    8.333    3    -1.426    2.27    1.892    10.993    5.078    7.459    1.143    7.906    1.063    2.28    1.918    0.171    
OH_Rh_211_bridge1-s    0.181    2.734    2.7    0.99    3.32    8.0    2    -1.393    2.226    1.891    11.121    5.078    7.459    1.143    7.918    1.043    2.28    1.955    0.189    
OH_Rh_211_top-s    0.1    2.734    2.694    0.99    3.32    7.0    1    -1.293    2.1    1.885    11.473    5.078    7.459    1.143    7.974    0.988    2.28    2.07    0.24    
OH_Rh_211_bridge2-t    0.249    2.734    2.707    0.99    3.32    9.0    2    -1.493    2.354    1.896    10.752    5.078    7.459    1.143    7.871    1.1    2.28    1.841    0.137    
OH_Rh_211_bridge1-t    0.444    2.734    2.72    0.99    3.32    9.5    2    -1.495    2.403    1.936    10.879    5.078    7.459    1.143    7.86    1.123    2.28    1.807    0.121    
OH_Rh_211_fcc-t    0.708    2.734    2.725    0.99    3.32    9.667    3    -1.496    2.419    1.95    10.919    5.078    7.459    1.143    7.858    1.13    2.28    1.796    0.116    
OH_Rh_211_hcp-t    0.601    2.734    2.716    0.99    3.32    9.333    3    -1.494    2.387    1.923    10.835    5.078    7.459    1.143    7.865    1.115    2.28    1.819    0.127    
OH_Rh_211_top-t    0.46    2.734    2.707    0.99    3.32    9.0    1    -1.494    2.355    1.896    10.748    5.078    7.459    1.143    7.87    1.1    2.28    1.841    0.137    
OH_Pt@Rh_211_bridge3-s-1    0.465    2.786    2.734    1.015    3.61    8.5    2    -1.763    2.153    1.553    8.677    5.414    8.209    1.634    8.316    1.088    2.28    1.439    0.159    
OH_Pt@Rh_211_bridge3-s-2    0.174    2.734    2.713    0.99    3.32    8.5    2    -1.396    2.301    1.943    11.395    5.078    7.459    1.143    7.893    1.074    2.28    1.975    0.168    
OH_Pt@Rh_211_bridge2-s-1    -0.123    2.786    2.714    1.015    3.61    7.0    2    -1.667    1.96    1.45    8.576    5.414    8.209    1.634    8.369    1.009    2.28    1.633    0.221    
OH_Pt@Rh_211_bridge2-s-2    -0.355    2.734    2.696    0.99    3.32    7.0    2    -1.293    2.108    1.809    11.161    5.078    7.459    1.143    7.953    1.01    2.28    2.157    0.231    
OH_Pt@Rh_211_fcc-s-2    0.264    2.734    2.704    0.99    3.32    8.333    3    -1.418    2.273    1.848    10.83    5.078    7.459    1.143    7.892    1.074    2.28    1.975    0.168    
OH_Pt@Rh_211_bridge1-s-1    0.477    2.786    2.723    1.015    3.61    8.0    2    -1.755    2.081    1.467    8.301    5.414    8.209    1.634    8.326    1.062    2.28    1.499    0.175    
OH_Pt@Rh_211_bridge1-s-2    0.257    2.734    2.705    0.99    3.32    8.0    2    -1.381    2.229    1.826    10.886    5.078    7.459    1.143    7.909    1.064    2.28    2.023    0.185    
OH_Pt@Rh_211_bridge1-s-3    0.204    2.734    2.699    0.99    3.32    8.0    2    -1.392    2.234    1.851    10.94    5.078    7.459    1.143    7.905    1.052    2.28    2.018    0.183    
OH_Pt@Rh_211_top-s-1    0.423    2.838    2.732    1.04    3.9    7.0    1    -2.041    1.812    1.091    5.992    5.75    8.959    2.125    8.785    1.007    2.28    1.109    0.211    
OH_Pt@Rh_211_top-s-2    0.205    2.734    2.695    0.99    3.32    7.0    1    -1.293    2.108    1.809    11.161    5.078    7.459    1.143    7.953    1.01    2.28    2.157    0.231    
OH_Pt@Rh_211_bridge1-t-1    0.496    2.734    2.725    0.99    3.32    9.5    2    -1.477    2.422    1.928    10.986    5.078    7.459    1.143    7.857    1.143    2.28    1.83    0.123    
OH_Pt@Rh_211_bridge1-t-2    0.434    2.734    2.723    0.99    3.32    9.5    2    -1.485    2.422    1.96    11.12    5.078    7.459    1.143    7.849    1.128    2.28    1.842    0.122    
OH_Pt@Rh_211_bridge1-t-3    0.448    2.734    2.717    0.99    3.32    9.5    2    -1.496    2.428    1.985    11.174    5.078    7.459    1.143    7.845    1.116    2.28    1.836    0.12    
OH_Pt@Rh_211_bridge2-t-1    0.323    2.734    2.714    0.99    3.32    9.0    2    -1.47    2.351    1.843    10.61    5.078    7.459    1.143    7.866    1.117    2.28    1.89    0.139    
OH_Pt@Rh_211_bridge2-t-2    0.233    2.734    2.708    0.99    3.32    9.0    2    -1.481    2.356    1.868    10.664    5.078    7.459    1.143    7.862    1.105    2.28    1.884    0.137    
OH_Pt@Rh_211_fcc-t-2    0.701    2.734    2.722    0.99    3.32    9.667    3    -1.497    2.45    2.016    11.326    5.078    7.459    1.143    7.841    1.123    2.28    1.822    0.115    
OH_Pt@Rh_211_hcp-t-1    0.637    2.734    2.721    0.99    3.32    9.333    3    -1.474    2.398    1.9    10.861    5.078    7.459    1.143    7.86    1.134    2.28    1.85    0.129    
OH_Pt@Rh_211_hcp-t-2    0.597    2.734    2.716    0.99    3.32    9.333    3    -1.487    2.402    1.938    10.986    5.078    7.459    1.143    7.852    1.116    2.28    1.854    0.127    
OH_Pt@Rh_211_top-t-1    0.494    2.734    2.714    0.99    3.32    9.0    1    -1.47    2.351    1.843    10.61    5.078    7.459    1.143    7.866    1.117    2.28    1.89    0.139    
OH_Pt@Rh_211_top-t-2    0.445    2.734    2.703    0.99    3.32    9.0    1    -1.492    2.361    1.893    10.719    5.078    7.459    1.143    7.858    1.093    2.28    1.878    0.136    
OH_Ru_211_bridge3-s    -0.247    2.732    2.703    1.05    3.87    8.5    2    -1.252    2.065    0.41    3.639    4.889    7.361    1.046    7.115    0.878    2.2    1.552    0.196    
OH_Ru_211_bridge2-s    -0.833    2.732    2.683    1.05    3.87    7.0    2    -1.158    1.939    0.39    3.925    4.889    7.361    1.046    7.152    0.809    2.2    1.745    0.269    
OH_Ru_211_fcc-s    -0.118    2.732    2.692    1.05    3.87    8.333    3    -1.296    2.07    0.383    3.447    4.889    7.361    1.046    7.095    0.871    2.2    1.457    0.185    
OH_Ru_211_bridge1-s    -0.104    2.732    2.69    1.05    3.87    8.0    2    -1.261    2.037    0.384    3.566    4.889    7.361    1.046    7.109    0.857    2.2    1.529    0.206    
OH_Ru_211_top-s    -0.384    2.732    2.683    1.05    3.87    7.0    1    -1.159    1.939    0.391    3.926    4.889    7.361    1.046    7.152    0.808    2.2    1.745    0.269    
OH_Ru_211_bridge2-t    -0.08    2.732    2.696    1.05    3.87    9.0    2    -1.365    2.135    0.378    3.207    4.889    7.361    1.046    7.066    0.903    2.2    1.312    0.143    
OH_Ru_211_bridge1-t    0.071    2.732    2.71    1.05    3.87    9.5    2    -1.356    2.163    0.405    3.281    4.889    7.361    1.046    7.071    0.925    2.2    1.335    0.133    
OH_Ru_211_hcp-t    0.065    2.732    2.706    1.05    3.87    9.333    3    -1.359    2.154    0.396    3.257    4.889    7.361    1.046    7.068    0.917    2.2    1.328    0.137    
OH_Ru_211_top-t    0.347    2.732    2.696    1.05    3.87    9.0    1    -1.365    2.135    0.378    3.207    4.889    7.361    1.046    7.066    0.902    2.2    1.312    0.143    
C_Ag_111_hcp    5.889    2.985    2.98    0.89    2.26    9.0    3    -4.122    0.941    2.135    15.044    4.61    7.576    1.304    9.792    1.148    1.93    0.043    0.309    
C_Au_111_hcp    4.872    2.99    2.996    1.01    3.35    9.0    3    -3.319    1.336    1.289    8.485    5.321    9.226    2.309    9.742    1.303    2.54    0.113    0.294    
C_Cu_111_hcp    4.387    2.603    2.596    0.67    1.0    9.0    3    -2.446    0.95    0.826    8.438    4.992    7.726    1.236    9.834    1.244    1.9    0.106    0.275    
C_Ir_111_hcp    1.786    2.753    2.743    1.08    4.45    9.0    3    -1.91    2.546    0.575    4.095    5.74    9.121    1.564    7.688    1.301    2.2    1.218    0.135    
C_Ni_111_hcp    2.198    2.502    2.496    0.71    1.16    9.0    3    -1.3    1.559    1.695    10.742    5.291    7.64    1.157    8.66    1.252    1.91    1.902    0.148    
C_Pd_111_hcp    2.094    2.819    2.82    0.94    2.78    9.0    3    -1.614    1.339    0.576    4.833    5.422    8.337    0.562    9.319    0.764    2.2    2.113    0.127    
C_Pt_111_hcp    2.129    2.838    2.838    1.04    3.9    9.0    3    -1.944    1.98    0.835    5.619    5.922    8.959    2.125    8.832    1.181    2.28    1.733    0.107    
C_Rh_111_hcp    1.714    2.734    2.725    0.99    3.32    9.0    3    -1.516    2.023    1.077    6.347    5.347    7.459    1.143    7.991    1.094    2.28    1.765    0.158    
C_Ru_111_hcp    1.374    2.732    2.71    1.05    3.87    9.0    3    -1.319    2.084    0.338    3.173    5.266    7.361    1.046    7.071    0.888    2.2    2.11    0.216    
CH_Ag_111_hcp    4.341    2.985    2.98    0.89    2.26    9.0    3    -4.122    0.941    2.135    15.044    4.61    7.576    1.304    9.792    1.148    1.93    0.043    0.309    
CH_Au_111_hcp    3.511    2.99    2.996    1.01    3.35    9.0    3    -3.319    1.336    1.289    8.485    5.321    9.226    2.309    9.742    1.303    2.54    0.113    0.294    
CH_Cu_111_hcp    3.028    2.603    2.596    0.67    1.0    9.0    3    -2.446    0.95    0.826    8.438    4.992    7.726    1.236    9.834    1.244    1.9    0.106    0.275    
CH_Ir_111_hcp    0.818    2.753    2.743    1.08    4.45    9.0    3    -1.91    2.546    0.575    4.095    5.74    9.121    1.564    7.688    1.301    2.2    1.218    0.135    
CH_Ni_111_hcp    1.268    2.502    2.496    0.71    1.16    9.0    3    -1.3    1.559    1.695    10.742    5.291    7.64    1.157    8.66    1.252    1.91    1.902    0.148    
CH_Pd_111_hcp    1.306    2.819    2.82    0.94    2.78    9.0    3    -1.614    1.339    0.576    4.833    5.422    8.337    0.562    9.319    0.764    2.2    2.113    0.127    
CH_Pt_111_hcp    1.082    2.838    2.838    1.04    3.9    9.0    3    -1.944    1.98    0.835    5.619    5.922    8.959    2.125    8.832    1.181    2.28    1.733    0.107    
CH_Rh_111_hcp    0.954    2.734    2.725    0.99    3.32    9.0    3    -1.516    2.023    1.077    6.347    5.347    7.459    1.143    7.991    1.094    2.28    1.765    0.158    
CH_Ru_111_hcp    0.606    2.732    2.71    1.05    3.87    9.0    3    -1.319    2.084    0.338    3.173    5.266    7.361    1.046    7.071    0.888    2.2    2.11    0.216    
CO_Ag_111_hcp    2.423    2.985    2.98    0.89    2.26    9.0    3    -4.122    0.941    2.135    15.044    4.61    7.576    1.304    9.792    1.148    1.93    0.043    0.309    
CO_Au_111_hcp    2.723    2.99    2.996    1.01    3.35    9.0    3    -3.319    1.336    1.289    8.485    5.321    9.226    2.309    9.742    1.303    2.54    0.113    0.294    
CO_Cu_111_hcp    2.12    2.603    2.596    0.67    1.0    9.0    3    -2.446    0.95    0.826    8.438    4.992    7.726    1.236    9.834    1.244    1.9    0.106    0.275    
CO_Ir_111_hcp    1.082    2.753    2.743    1.08    4.45    9.0    3    -1.91    2.546    0.575    4.095    5.74    9.121    1.564    7.688    1.301    2.2    1.218    0.135    
CO_Ni_111_hcp    0.87    2.502    2.496    0.71    1.16    9.0    3    -1.3    1.559    1.695    10.742    5.291    7.64    1.157    8.66    1.252    1.91    1.902    0.148    
CO_Pd_111_hcp    0.789    2.819    2.82    0.94    2.78    9.0    3    -1.614    1.339    0.576    4.833    5.422    8.337    0.562    9.319    0.764    2.2    2.113    0.127    
CO_Pt_111_hcp    1.064    2.838    2.838    1.04    3.9    9.0    3    -1.944    1.98    0.835    5.619    5.922    8.959    2.125    8.832    1.181    2.28    1.733    0.107    
CO_Rh_111_hcp    0.817    2.734    2.725    0.99    3.32    9.0    3    -1.516    2.023    1.077    6.347    5.347    7.459    1.143    7.991    1.094    2.28    1.765    0.158    
CO_Ru_111_hcp    0.673    2.732    2.71    1.05    3.87    9.0    3    -1.319    2.084    0.338    3.173    5.266    7.361    1.046    7.071    0.888    2.2    2.11    0.216    
H_Ag_111_fcc    0.494    2.985    2.98    0.89    2.26    9.0    3    -4.122    0.941    2.136    15.048    4.61    7.576    1.304    9.792    1.149    1.93    0.043    0.309    
H_Au_111_fcc    0.509    2.99    2.996    1.01    3.35    9.0    3    -3.319    1.336    1.289    8.485    5.321    9.226    2.309    9.741    1.304    2.54    0.113    0.293    
H_Cu_111_fcc    0.083    2.603    2.596    0.67    1.0    9.0    3    -2.446    0.95    0.826    8.438    4.992    7.726    1.236    9.832    1.244    1.9    0.106    0.275    
H_Ir_111_fcc    -0.192    2.753    2.743    1.08    4.45    9.0    3    -1.91    2.546    0.575    4.095    5.74    9.121    1.564    7.687    1.301    2.2    1.218    0.135    
H_Ni_111_fcc    -0.367    2.502    2.496    0.71    1.16    9.0    3    -1.299    1.559    1.696    10.758    5.291    7.64    1.157    8.66    1.251    1.91    1.904    0.148    
H_Pd_111_fcc    -0.374    2.819    2.82    0.94    2.78    9.0    3    -1.614    1.339    0.576    4.833    5.422    8.337    0.562    9.32    0.765    2.2    2.114    0.127    
H_Pt_111_fcc    -0.245    2.838    2.838    1.04    3.9    9.0    3    -1.944    1.98    0.835    5.62    5.922    8.959    2.125    8.832    1.181    2.28    1.733    0.107    
H_Rh_111_fcc    -0.312    2.734    2.725    0.99    3.32    9.0    3    -1.516    2.023    1.077    6.347    5.347    7.459    1.143    7.992    1.094    2.28    1.765    0.158    
H_Ru_111_fcc    -0.462    2.732    2.71    1.05    3.87    9.0    3    -1.32    2.085    0.338    3.171    5.266    7.361    1.046    7.072    0.888    2.2    2.108    0.216    
O_Ag_111_fcc    2.023    2.985    2.98    0.89    2.26    9.0    3    -4.122    0.941    2.136    15.048    4.61    7.576    1.304    9.792    1.149    1.93    0.043    0.309    
O_Au_111_fcc    2.415    2.99    2.996    1.01    3.35    9.0    3    -3.319    1.336    1.289    8.485    5.321    9.226    2.309    9.741    1.304    2.54    0.113    0.293    
O_Cu_111_fcc    0.974    2.603    2.596    0.67    1.0    9.0    3    -2.446    0.95    0.826    8.438    4.992    7.726    1.236    9.832    1.244    1.9    0.106    0.275    
O_Ir_111_fcc    0.749    2.753    2.743    1.08    4.45    9.0    3    -1.91    2.546    0.575    4.095    5.74    9.121    1.564    7.687    1.301    2.2    1.218    0.135    
O_Ni_111_fcc    0.109    2.502    2.496    0.71    1.16    9.0    3    -1.299    1.559    1.696    10.758    5.291    7.64    1.157    8.66    1.251    1.91    1.904    0.148    
O_Pd_111_fcc    1.131    2.819    2.82    0.94    2.78    9.0    3    -1.614    1.339    0.576    4.833    5.422    8.337    0.562    9.32    0.765    2.2    2.114    0.127    
O_Pt_111_fcc    1.418    2.838    2.838    1.04    3.9    9.0    3    -1.944    1.98    0.835    5.62    5.922    8.959    2.125    8.832    1.181    2.28    1.733    0.107    
O_Rh_111_fcc    0.468    2.734    2.725    0.99    3.32    9.0    3    -1.516    2.023    1.077    6.347    5.347    7.459    1.143    7.992    1.094    2.28    1.765    0.158    
O_Ru_111_fcc    -0.071    2.732    2.71    1.05    3.87    9.0    3    -1.32    2.085    0.338    3.171    5.266    7.361    1.046    7.072    0.888    2.2    2.108    0.216    
OH_Ag_111_bridge    0.632    2.985    2.98    0.89    2.26    9.0    2    -4.122    0.941    2.136    15.042    4.61    7.576    1.304    9.793    1.148    1.93    0.043    0.309    
OH_Au_111_bridge    1.139    2.99    2.996    1.01    3.35    9.0    2    -3.319    1.336    1.289    8.483    5.321    9.226    2.309    9.738    1.303    2.54    0.113    0.294    
OH_Cu_111_bridge    0.279    2.603    2.596    0.67    1.0    9.0    2    -2.446    0.95    0.826    8.438    4.992    7.726    1.236    9.834    1.244    1.9    0.106    0.275    
OH_Ir_111_bridge    0.491    2.753    2.743    1.08    4.45    9.0    2    -1.91    2.546    0.575    4.095    5.74    9.121    1.564    7.688    1.301    2.2    1.218    0.135    
OH_Ni_111_bridge    0.016    2.502    2.496    0.71    1.16    9.0    2    -1.3    1.56    1.694    10.733    5.291    7.64    1.157    8.659    1.251    1.91    1.902    0.148    
OH_Pd_111_bridge    0.596    2.819    2.821    0.94    2.78    9.0    2    -1.614    1.339    0.576    4.833    5.422    8.337    0.562    9.318    0.764    2.2    2.114    0.127    
OH_Pt_111_bridge    0.913    2.838    2.838    1.04    3.9    9.0    2    -1.944    1.98    0.835    5.618    5.922    8.959    2.125    8.832    1.181    2.28    1.733    0.107    
OH_Rh_111_bridge    0.197    2.734    2.725    0.99    3.32    9.0    2    -1.516    2.023    1.077    6.347    5.347    7.459    1.143    7.991    1.094    2.28    1.765    0.158    
OH_Ru_111_bridge    -0.202    2.732    2.71    1.05    3.87    9.0    2    -1.318    2.085    0.338    3.172    5.266    7.361    1.046    7.068    0.888    2.2    2.11    0.216    
C_Ag_110_longbridge    5.34    2.985    2.966    0.89    2.26    9.0    4    -4.07    1.034    2.618    18.619    4.398    7.576    1.304    9.876    1.158    1.93    0.039    0.307    
